file_name,agency,release_date,incident_date,incident_location,file_type,page_count,ocr_success_rate,review_required_count,japan_related,japan_keywords,japan_signal_source,location_conflict,location_conflict_reason,candidate_score,recommended_lane,reasons,notes
fbi-photo-b21.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b22.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b23.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b24.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b3.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b4.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b5.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b6.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b7.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b8.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
fbi-photo-b9.pdf,FBI,5/8/26,Late 2025,Western United States,PDF,1,,0,false,,,false,,35,detailed,"agency=FBI(+10) | 1p: very short, quick to process(+10) | recent incident (2025)(+15)",
dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,Department of War,5/8/26,3/23/26,Pacific Time Zone,PDF,6,,0,false,,,false,,33,detailed,agency=Department of War(+5) | email correspondence chain(+8) | 6p: short document(+5) | recent incident (2023)(+15),
255_t_763_r1b_transcripts.pdf,NASA,5/8/26,12/5/65,Low Earth Orbit,PDF,4,,0,false,,,false,,32,detailed,"agency=NASA(+10) | verbatim transcript(+12) | 4p: very short, quick to process(+10)",
nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,NASA,5/8/26,1973,,PDF,11,,0,false,,,false,,30,detailed,agency=NASA(+10) | crew debrief transcript(+15) | 11p: short document(+5),
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,Department of War,5/8/26,3/18/45,Germany,PDF,17,,0,false,,,false,,25,detailed,agency=Department of War(+5) | 17p: short document(+5) | recent incident (2075)(+15),
dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,Department of State,5/8/26,1/24/85,Papua New Guinea,PDF,3,,0,false,,,false,,25,detailed,"agency=Department of State(+5) | State Dept diplomatic cable(+10) | 3p: very short, quick to process(+10)",
dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,Department of State,5/8/26,1/27/94,Kazakhstan,PDF,3,,0,false,,,false,,25,detailed,"agency=Department of State(+5) | State Dept diplomatic cable(+10) | 3p: very short, quick to process(+10)",
dow-uap-d54-mission-report-mediterranean-sea-na.pdf,Department of War,5/8/26,N/A,Mediterranean Sea,PDF,7,,0,false,,,false,,20,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5),
serial 5 redacted_redacted.pdf,FBI,5/8/26,9/1/23,United States,PDF,2,,0,false,,,false,,20,detailed,"agency=FBI(+10) | 2p: very short, quick to process(+10)",
serial-3_redacted.pdf,FBI,5/8/26,9/1/23,United States,PDF,2,,0,false,,,false,,20,detailed,"agency=FBI(+10) | 2p: very short, quick to process(+10)",
serial-4-redacted_redacted.pdf,FBI,5/8/26,9/1/23,United States,PDF,2,,0,false,,,false,,20,detailed,"agency=FBI(+10) | 2p: very short, quick to process(+10)",
059uap00011.pdf,Department of State,5/8/26,10/28/2001-10/29/2001,Georgia,PDF,5,,0,false,,,false,,15,hold,"agency=Department of State(+5) | 5p: very short, quick to process(+10)",
059uap00012.pdf,Department of State,5/8/26,11/5/04,Turkmenistan,PDF,5,,0,false,,,false,,15,hold,"agency=Department of State(+5) | 5p: very short, quick to process(+10)",
65_hs1-101634279_100-de-18221_serial_844.pdf,FBI,5/8/26,4/17/58,"Detroit, MI",PDF,1,,0,false,,,false,,15,hold,"agency=FBI(+10) | serial (part of large multi-section file)(-5) | 1p: very short, quick to process(+10)",
65_hs1-101634279_100-de-26505.pdf,FBI,5/8/26,11/7/57,Germany,PDF,15,,0,false,,,false,,15,hold,agency=FBI(+10) | 15p: short document(+5),
65_hs1-834228961_62-hq-83894_serial_403.pdf,FBI,5/8/26,N/A,N/A,PDF,3,,0,false,,,false,,15,hold,"agency=FBI(+10) | serial (part of large multi-section file)(-5) | 3p: very short, quick to process(+10)",
059uap00013.pdf,Department of State,5/8/26,9/12/03,Mexico,PDF,7,,0,false,,,false,,10,hold,agency=Department of State(+5) | 7p: short document(+5),
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,Department of War,5/8/26,11/8/48,Netherlands,PDF,7,,0,false,,,false,,10,hold,agency=Department of War(+5) | 7p: short document(+5),
