file_name,agency,release_date,incident_date,incident_location,file_type,source_url,download_url,dvids_video_id,downloaded,downloaded_at,first_downloaded_at,last_verified_at,notes,content_category,media_available,ocr_status,article_priority,reader_interest,risk_level,note_series,download_scope,human_review_required
65_hs1-834228961_62-hq-83894_serial_403.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_403.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_438.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_438.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_serial_449.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_449.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_sub_a.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_sub_a.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-002_Scientific-Advisory-Panel-on-Unidentified-Flying-Objects_Report_1952-1953.pdf,CIA,6/12/26,1952-1953,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-002_Scientific-Advisory-Panel-on-Unidentified-Flying-Objects_Report_1952-1953.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:48 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-003-THE_CENTRAL_INTELLIGENCE_AGENCY_AND_OVERHEAD_RECONNAISSANCE-THE_U-2_AND_OXCART_PROGRAMS_1954-1974.pdf,CIA,6/12/26,1954-1974,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-003-THE_CENTRAL_INTELLIGENCE_AGENCY_AND_OVERHEAD_RECONNAISSANCE-THE_U-2_AND_OXCART_PROGRAMS_1954-1974.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:54 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-004-CASE_17708_CLOSED_AND_DR_LEON_DAVIDSON.pdf,CIA,6/12/26,1958,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-004-CASE_17708_CLOSED_AND_DR_LEON_DAVIDSON.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:56 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-005-GERMAN_SCIENTISTS_ ARTICLE_ON_FLYING_DISCS.pdf,CIA,6/12/26,1950,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-005-GERMAN_SCIENTISTS_ ARTICLE_ON_FLYING_DISCS.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:00 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-006_Sighting_of_Unconventional_Aircraft.pdf,CIA,6/12/26,"November, 1955","Baku, Azerbaijan",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-006_Sighting_of_Unconventional_Aircraft.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:03 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-007_Current_Status_of_Unidentified_Flying_Objects_UFO_Project.pdf,CIA,6/12/26,"December, 1953",,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-007_Current_Status_of_Unidentified_Flying_Objects_UFO_Project.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:06 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
